Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-01,0.5,1.6,1729.586,17.5080,121.3,231.679,53.9,80.4,76.7,-0.91,3.28,12572,1.4,1.601576,127154,539050,343000,605665,38594.1,1215381
2013-02,1.2,2.0,1734.805,17.5538,122.7,232.937,55.5,80.7,77.0,-1.18,3.20,12741,2.3,1.616247,127013,533450,345413,609905,39491.2,1222836
2013-03,1.0,1.5,1740.839,17.5084,122.9,232.282,53.9,80.9,77.2,-1.45,0.06,12799,1.8,1.622955,126872,527770,346055,610269,40031.8,1503770
2013-04,0.4,1.1,1743.937,17.5335,122.7,231.797,52.9,80.8,77.1,-1.17,-11.80,12752,2.3,1.634751,126589,526750,346697,611478,40565.4,1500208
2013-05,0.7,1.4,1748.724,17.5965,123.0,231.893,52.9,80.6,77.0,-0.89,-2.79,12408,4.1,1.645335,126748,521380,347339,614716,39631.3,2189503
2013-06,1.2,1.8,1742.396,17.5890,123.0,232.445,54.9,80.5,77.1,-0.61,14.65,12661,3.4,1.655705,126906,520170,348051,616557,39535.4,2972332
2013-07,1.3,2.0,1752.447,17.5853,123.1,232.900,53.5,80.6,76.8,-0.38,25.76,12178,4.4,1.654743,127223,518620,348763,619724,38657.9,3614835
2013-08,1.1,1.5,1760.130,17.6140,123.1,233.456,54.0,80.8,77.2,-0.14,6.84,12487,5.0,1.672331,127419,518500,349475,622446,40671.8,3659252
2013-09,1.1,1.2,1766.098,17.6019,123.3,233.544,54.8,80.9,77.5,0.09,-14.81,12654,4.4,1.687280,127615,517650,350816,624619,41044.8,2404546
2013-10,0.7,1.0,1775.606,17.6070,123.0,233.669,54.1,81.2,77.3,0.16,-11.89,12787,4.3,1.702903,128006,520210,352157,624714,40318.5,1851349
2013-11,0.9,1.2,1779.954,17.6280,123.0,234.100,54.2,81.4,77.5,0.24,-1.47,13363,4.4,1.722554,128098,518300,353499,625668,40155,1393804
2013-12,1.2,1.5,1772.541,17.6144,122.7,234.719,52.3,81.7,77.6,0.31,-0.83,13395,4.8,1.737571,128190,519390,354297,629270,40527.5,1639199
2014-01,1.5,1.6,1773.250,17.6290,123.1,235.288,54.1,81.6,77.3,0.72,-25.72,13621,4.2,1.760451,128374,512010,355096,627609,40424.8,1189185
2014-02,1.1,1.1,1782.226,17.6374,124.1,235.547,53.9,81.4,77.8,1.12,-10.74,13695,4.4,1.754274,128254,512080,355895,627345,43191.7,1188099
2014-03,1.5,1.5,1787.024,17.6384,124.8,236.028,54.5,81.3,78.5,1.53,14.80,14210,4.1,1.762974,128134,517700,356521,628888,44432.5,1355674
2014-04,2.0,2.0,1790.684,17.6291,125.2,236.468,54.8,81.8,78.5,1.00,41.87,14335,5.9,1.771665,127894,523160,357148,630373,43696.7,1615335
2014-05,2.3,2.1,1802.034,17.6180,125.8,236.918,54.3,82.3,78.7,0.46,44.17,14652,4.4,1.778564,127909,511510,357775,634223,45246.7,2264944
2014-06,2.4,2.1,1810.319,17.6341,125.9,237.231,55.3,82.8,78.9,-0.07,42.86,14604,6.8,1.788130,127924,511470,359753,638032,45124.9,3004316
2014-07,2.1,2.0,1812.914,17.6888,125.7,237.498,56.3,82.6,79.0,0.31,55.60,15146,5.9,1.802842,127953,508210,361732,640638,45317.8,3687564
2014-08,2.1,1.7,1809.135,17.6630,125.7,237.460,56.4,82.4,78.8,0.70,53.69,15331,5.0,1.816335,127856,503940,363711,643729,44760.4,3750119
2014-09,2.0,1.7,1816.399,17.7059,125.8,237.477,54.9,82.2,78.9,1.08,46.56,15627,5.8,1.830197,127759,500750,364083,647098,44952,2455033
2014-10,2.4,1.7,1821.619,17.7367,125.9,237.430,54.2,82.4,78.9,0.36,41.30,14959,5.2,1.840314,127565,498030,364455,648057,45009.7,1951935
2014-11,2.0,1.3,1822.817,17.7404,125.4,236.983,54.0,82.5,79.3,-0.35,34.16,14632,4.9,1.846050,128000,496390,364827,648813,43634.1,1370006
2014-12,1.5,0.8,1825.584,17.7139,124.5,236.252,52.5,82.7,79.2,-1.07,27.14,14754,4.8,1.851801,128435,503610,367412,651642,43542.3,1725804
2015-01,1.0,-0.1,1817.974,17.7400,124.3,234.747,51.7,82.2,78.6,-1.19,20.76,14637,0.8,1.865845,129304,508150,369997,650123,42271.9,1260127
2015-02,1.0,0.0,1815.506,17.7555,125.4,235.342,52.0,81.7,78.0,-1.32,17.23,14714,2.2,1.875778,129338,516030,372583,649524,42834.5,1255498
2015-03,1.2,-0.1,1814.460,17.7677,126.3,235.976,50.9,81.2,77.8,-1.44,19.63,15241,3.5,1.887971,129372,519390,373668,652262,43147.5,1448210
2015-04,0.8,-0.2,1813.921,17.7503,126.2,236.222,51.1,80.7,77.3,-1.50,31.92,14925,2.0,1.892035,129439,530830,374754,655260,42892.2,1687028
2015-05,0.9,0.0,1812.920,17.7820,126.9,237.001,52.7,80.2,76.9,-1.55,26.22,15224,2.3,1.898134,129627,537470,375840,660771,42493.5,2453533
2015-06,1.0,0.1,1817.855,17.7862,127.2,237.657,51.6,79.7,76.6,-1.61,17.92,15041,2.2,1.907905,129815,539980,376819,665542,44835.4,3306450
2015-07,1.3,0.2,1822.436,17.8277,127.3,238.034,53.6,80.0,77.2,-1.63,17.31,14588,2.3,1.947408,130190,546090,377797,667321,45566.1,4083433
2015-08,1.3,0.2,1826.294,17.8462,127.3,238.033,49.8,80.2,77.0,-1.64,13.97,14466,3.0,1.969231,130100,539860,378776,669881,44755.3,3801481
2015-09,1.0,0.0,1818.765,17.8257,127.1,237.498,49.1,80.5,76.7,-1.66,8.28,13692,2.5,1.982931,130010,541190,378953,672761,44345.5,2789062
2015-10,1.0,0.2,1820.488,17.8437,127.2,237.733,51.4,80.2,76.4,-2.24,0.60,13363,2.4,1.979537,129829,541090,379131,672683,43348.8,2073074
2015-11,1.4,0.5,1824.776,17.8207,127.1,238.017,52.4,80.0,75.8,-2.81,3.13,13531,4.1,1.994515,130095,546690,379308,673997,43055.7,1510420
2015-12,1.6,0.7,1826.829,17.8193,126.5,237.761,51.7,79.7,75.4,-3.39,2.94,13488,4.0,2.011772,130362,547460,375944,675834,44499.7,1886627
2016-01,2.0,1.4,1837.860,17.8191,126.8,237.650,47.2,79.6,75.9,-2.90,-5.89,12921,8.8,2.028416,130894,548760,372579,674730,45518.4,1410197
2016-02,1.4,1.0,1832.584,17.8247,127.1,237.336,46.8,79.6,75.5,-2.42,6.07,12766,7.5,2.040169,131242,552140,369215,674813,43349.7,1479870
2016-03,1.3,0.9,1825.855,17.8616,127.9,238.080,50.4,79.5,74.9,-1.93,9.97,12896,4.8,2.030370,131591,549650,371490,678037,41507.4,1722059
2016-04,1.7,1.1,1830.002,17.8732,128.3,238.992,53.7,78.8,75.1,-2.06,-3.95,13405,5.9,2.047724,132288,545450,373765,682071,41552.4,1848966
2016-05,1.5,1.0,1819.666,17.8746,128.8,239.557,52.9,78.2,74.9,-2.18,-8.49,13964,4.6,2.075669,132281,552890,376040,686941,40944.8,2584792
2016-06,1.5,1.0,1828.411,17.8903,129.1,240.222,52.3,77.5,75.2,-2.31,-9.91,14017,4.1,2.093705,132275,555350,377474,691127,41120.5,3487950
2016-07,1.3,0.8,1839.206,17.8702,128.9,240.101,53.2,78.1,75.4,-1.94,-9.22,14200,3.2,2.124380,132262,571890,378908,693330,43174.4,4562023
2016-08,1.1,1.1,1843.452,17.9242,128.7,240.545,52.7,78.6,75.2,-1.56,-2.63,14555,3.3,2.130616,132332,571520,380341,693835,44151.3,4020786
2016-09,1.3,1.5,1848.118,17.9720,128.8,241.176,53.0,79.2,75.1,-1.19,4.36,14573,4.5,2.145004,132402,580990,381810,695461,44001,3078069
2016-10,1.5,1.6,1847.038,18.0158,129.1,241.741,53.0,79.4,75.1,-0.56,-7.98,14723,5.4,2.160121,132542,583250,383279,697738,44407.9,2273851
2016-11,1.2,1.7,1853.836,18.0134,128.6,242.026,49.8,79.6,74.8,0.07,-5.80,14828,4.7,2.166144,132885,579970,384748,699703,46456.4,1647733
2016-12,1.5,2.1,1858.876,18.0508,128.4,242.637,52.1,79.8,75.3,0.70,-0.57,15139,5.9,2.174962,133228,572570,385166,704593,46116.7,2025995
2017-01,2.1,2.5,1868.964,18.1333,129.5,243.620,50.2,79.8,75.2,0.63,6.01,15367,7.7,2.179155,133914,558270,385584,705201,46977.1,1478918
2017-02,2.0,2.7,1873.773,18.1470,129.7,243.872,50.2,79.7,74.9,0.57,17.50,15424,5.5,2.180513,133941,552760,386003,706860,46110.4,1467119
2017-03,1.6,2.4,1881.584,18.1634,129.9,243.766,52.1,79.7,75.5,0.50,23.86,15535,7.1,2.199285,133968,555490,388348,712081,46769.3,1670640
2017-04,1.6,2.2,1888.758,18.1823,130.4,244.274,53.2,80.0,76.3,1.22,11.90,15587,7.8,2.225719,134021,548640,390693,715204,47390.3,2054513
2017-05,1.3,1.9,1896.042,18.2352,130.5,244.069,52.3,80.2,76.5,1.94,9.39,15602,8.1,2.240392,134262,541500,393039,720796,47988.4,2596495
2017-06,1.0,1.6,1899.612,18.2691,130.4,244.218,53.4,80.5,76.6,2.66,5.94,15363,7.4,2.235027,134502,534570,395795,725836,45712,3709288
2017-07,1.2,1.7,1900.773,18.2906,130.4,244.280,54.5,80.7,76.6,2.05,-0.62,15217,7.9,2.232547,134983,533010,398551,729997,43807,4569810
2017-08,1.4,1.9,1899.358,18.3357,130.5,245.205,55.6,80.8,76.3,1.43,0.75,15192,7.3,2.237161,135297,526470,401307,731907,43560.1,4192405
2017-09,1.6,2.2,1902.497,18.3328,130.8,246.551,54.3,81.0,76.5,0.82,5.66,15195,5.9,2.244822,135610,519670,402696,734464,43763.8,3179035
2017-10,1.4,2.0,1905.137,18.3712,130.9,246.657,55.0,81.4,77.5,1.21,5.92,15640,8.2,2.260160,136238,516850,404085,735825,44638,2353870
2017-11,2.1,2.2,1913.640,18.4393,131.3,247.378,55.4,81.7,77.8,1.59,26.38,16093,6.9,2.272352,136478,507690,405475,737808,46728.9,1734543
2017-12,1.9,2.1,1920.686,18.5161,130.8,247.736,54.5,82.1,77.9,1.98,41.33,16058,5.6,2.279568,136719,496270,405336,740785,47079.4,2074307
2018-01,1.7,2.1,1919.623,18.4359,131.7,248.721,55.1,82.5,77.9,1.85,34.79,16213,3.0,2.268788,137199,498350,405198,739363,46125,1466125
2018-02,2.2,2.2,1927.189,18.4590,132.5,249.300,55.7,83.0,78.2,1.71,32.29,15920,3.7,2.296256,137539,484070,405060,740259,46889.8,1526261
2018-03,2.3,2.4,1932.480,18.5154,132.9,249.517,53.6,83.4,78.7,1.58,32.06,15453,3.6,2.302274,137879,475640,405458,743359,48379.6,1861503
2018-04,2.2,2.5,1932.577,18.5014,133.3,250.275,56.4,83.7,79.5,2.00,32.81,15351,1.9,2.309231,138560,469870,405856,746530,49334.8,1815466
2018-05,2.2,2.8,1944.258,18.4924,133.4,250.786,53.9,84.1,78.8,2.41,26.38,15593,4.7,2.318067,138707,460940,406253,754316,49240.6,2611707
2018-06,2.5,2.9,1946.207,18.5394,133.6,251.152,55.8,84.4,79.4,2.83,21.21,16076,4.2,2.332226,138853,463860,406918,760198,51342.4,3793446
2018-07,3.0,2.9,1952.354,18.6057,134.3,251.345,54.2,84.3,79.5,2.75,23.46,16332,3.5,2.345770,139147,458200,407583,764339,51431.6,4515377
2018-08,2.8,2.7,1954.079,18.5522,134.2,251.735,55.6,84.1,79.9,2.68,18.40,16384,3.8,2.360192,139387,463520,408248,767904,50730.6,4357766
2018-09,2.2,2.3,1955.253,18.6192,133.7,252.183,55.8,84.0,79.8,2.60,4.53,16276,4.2,2.373176,139628,450430,410488,772493,50653.8,3101010
2018-10,2.4,2.5,1961.308,18.6309,134.1,252.899,55.3,83.6,79.5,2.29,11.33,16152,1.7,2.384649,140109,445930,412728,773909,50346.6,2330091
2018-11,1.7,2.2,1957.862,18.7411,133.5,252.822,57.1,83.3,79.4,1.98,10.79,15033,0.9,2.400524,140207,445930,414968,777491,47395.4,1750313
2018-12,2.0,1.9,1956.990,18.7410,133.4,252.493,52.4,82.9,79.2,1.67,6.73,15359,1.3,2.424123,140305,450160,415108,778561,45641.9,2145219
2019-01,1.4,1.6,1958.988,18.8156,133.6,252.441,54.2,82.4,78.7,0.79,2.34,14164,0.7,2.411973,140502,443440,415249,773930,48556.9,1492214
2019-02,1.5,1.5,1954.720,18.8673,134.5,252.969,54.1,82.0,78.1,-0.10,-0.05,15562,1.3,2.439572,140682,448080,415389,773491,48614.9,1494480
2019-03,1.9,1.9,1967.722,18.8608,135.4,254.147,55.1,81.5,78.1,-0.98,-1.78,16086,3.0,2.472141,140862,444730,417794,774905,51013.1,1803565
2019-04,2.0,2.0,1976.034,18.9633,136.0,255.326,50.8,82.4,77.5,-0.65,-4.53,16188,2.7,2.493994,141222,442920,420198,777838,51099.1,2071471
2019-05,2.4,1.8,1981.882,18.9856,136.6,255.371,53.7,83.4,77.6,-0.31,-11.64,16581,0.6,2.499695,141364,447010,422603,784424,52538.9,2808944
2019-06,2.0,1.6,1986.301,18.9900,136.3,255.423,56.8,84.3,77.4,0.02,-17.33,16054,0.4,2.507004,141507,448070,423976,789612,49623.4,3887483
2019-07,2.0,1.8,1986.641,18.9687,137.0,255.925,54.5,83.7,77.1,0.21,-13.50,16464,1.7,2.532196,141792,454350,425349,792453,49842.3,4713420
2019-08,1.9,1.7,1985.761,19.0439,136.8,256.118,55.6,83.1,77.5,0.39,-9.94,16389,1.0,2.555147,141956,455470,426723,795371,50190.3,4612427
2019-09,1.9,1.7,1987.927,19.0814,136.2,256.532,53.0,82.5,77.2,0.58,-6.10,16383,0.4,2.571259,142121,452580,428616,798114,49381.7,3144439
2019-10,1.9,1.8,1989.460,19.0788,136.6,257.387,53.0,82.4,76.5,0.64,-1.40,16684,-1.2,2.587398,142449,453130,430509,798933,48880.1,2422569
2019-11,2.2,2.1,1990.238,19.0203,136.4,257.989,52.7,82.2,76.8,0.69,-1.11,16538,1.3,2.603204,142210,455670,432403,799933,49077.9,1786974
2019-12,2.2,2.3,1995.370,19.0743,136.4,258.203,53.2,82.1,76.5,0.75,0.30,17061,2.5,2.611339,141972,453130,434485,802908,49348.1,2191785
2020-01,2.4,2.5,1995.507,19.1061,136.8,258.687,51.5,81.7,76.1,0.33,4.72,17132,1.8,2.623583,141494,454310,436568,798589,47046.5,1567317
2020-02,2.2,2.3,2001.982,19.1303,137.4,258.824,54.0,81.3,76.3,-0.08,-23.75,17351,3.0,2.653381,140034,446490,438651,800654,47812.9,1595707
2020-03,0.9,1.5,1853.959,18.1338,136.6,257.989,53.0,80.9,73.4,-0.50,-52.38,16325,-9.5,2.723726,138575,522220,456111,793994,44204.3,760252
2020-04,-0.2,0.3,1647.178,16.1416,135.7,256.192,35.6,77.9,63.4,-2.62,-64.89,12967,-31.8,2.816756,135655,671450,473572,780997,31620.1,67654
2020-05,-0.4,0.1,1720.419,16.4440,136.1,255.942,38.5,74.9,64.7,-4.73,-43.10,14563,-16.0,2.871404,137384,574880,491032,777198,34005.2,86362
2020-06,0.7,0.6,1824.445,17.3857,137.2,257.282,42.3,71.9,68.7,-6.85,-0.80,15178,3.4,2.917265,139113,447060,484179,779933,41370.5,121524
2020-07,0.1,1.0,1874.005,17.8026,137.2,258.604,44.1,73.8,71.5,-5.24,3.13,15694,2.7,2.934932,142571,238040,477325,781235,45941.3,141772
2020-08,0.1,1.3,1894.343,18.0163,137.0,259.511,44.0,75.8,72.3,-3.63,15.75,16173,2.6,2.944908,143069,159720,470472,786692,45132.2,158664
2020-09,0.5,1.4,1908.978,18.3885,136.9,260.149,45.4,77.7,72.1,-2.02,8.89,16533,5.6,2.968625,143568,238890,469504,789779,45826.7,147777
2020-10,0.7,1.2,1921.308,18.4829,137.5,260.462,42.1,78.4,72.9,-0.90,-10.65,16190,8.2,2.900739,144564,1386180,468537,790824,46433.9,139916
2020-11,1.0,1.2,1935.883,18.5375,137.7,260.927,44.5,79.0,73.3,0.23,-1.67,15685,8.8,2.913897,145173,1326040,467569,794170,46905.5,127159
2020-12,0.7,1.4,1937.028,18.4848,137.4,261.560,45.3,79.7,74.1,1.35,-26.97,17431,1.3,2.921443,145782,1347230,470807,790879,47539.4,154246
2021-01,1.0,1.4,1951.426,18.2720,138.2,262.231,48.0,80.4,75.0,1.88,4.55,17583,2.5,2.948218,147000,1498660,474044,785756,51462.6,120921
2021-02,1.1,1.7,1959.853,18.5312,138.9,263.161,46.3,81.0,72.7,2.42,-2.65,17527,6.5,2.972740,147550,1548640,477281,785809,50188.4,101655
2021-03,2.2,2.6,1985.903,18.8343,139.6,264.793,50.3,81.7,74.7,2.95,28.57,18250,24.9,2.966079,148099,1473320,480827,787059,50648.7,123583